id,timestamp,symbol,patterns,ml_win_probability,actual_result,pnl
4989,1763988343238,XRPUSDT,[],56.59,,
4990,1763988943238,XRPUSDT,[],60.26,,
4991,1763989543238,XRPUSDT,[],62.38,,
4992,1763993143238,XRPUSDT,"[""shooting_star""]",68.05,,
4993,1763993743238,XRPUSDT,[],57.61,,
4994,1763994043238,XRPUSDT,[],58.29,,
4995,1763994343238,XRPUSDT,[],63.53,,
4996,1763995243238,XRPUSDT,[],66.74,,
4997,1763995543238,XRPUSDT,"[""doji""]",67.02,,
4998,1763995843238,XRPUSDT,[],68.72,,
4999,1763996143238,XRPUSDT,[],57.89,,
5000,1763997043238,XRPUSDT,[],57.07,,
5001,1763997643238,XRPUSDT,"[""doji""]",64.03,,
5002,1763998243238,XRPUSDT,[],57.28,,
5003,1763998543238,XRPUSDT,[],64.62,,
5004,1763999143238,XRPUSDT,[],62.57,,
5005,1763999743238,XRPUSDT,"[""doji""]",64.02,,
5006,1764000043238,XRPUSDT,"[""bullish_engulfing""]",60.09,,
5007,1764000343238,XRPUSDT,[],66.9,,
5008,1764001243238,XRPUSDT,[],67.91,,
5009,1764001543238,XRPUSDT,[],59.66,,
5010,1764003343238,XRPUSDT,"[""doji""]",65.44,,
5011,1764004543238,XRPUSDT,[],68.12,,
5012,1764004843238,XRPUSDT,[],70.65,,
5013,1764006343238,XRPUSDT,[],57.32,,
5014,1764006943238,XRPUSDT,"[""doji""]",63.32,,
5015,1764009043238,XRPUSDT,[],58.18,,
5016,1764009343238,XRPUSDT,"[""bullish_engulfing""]",62.5,,
5017,1764011443238,XRPUSDT,[],60.19,,
5018,1764012343238,XRPUSDT,"[""shooting_star""]",62.68,,
5019,1764012943238,XRPUSDT,[],56.5,,
5020,1764013243238,XRPUSDT,[],64.61,,
5021,1764014143238,XRPUSDT,"[""bullish_engulfing""]",60.07,,
5022,1764014443238,XRPUSDT,[],72.87,,
5023,1764014743238,XRPUSDT,[],77.86,,
5024,1764015043238,XRPUSDT,"[""doji"", ""shooting_star""]",59.84,,
5025,1764018943238,XRPUSDT,"[""doji""]",61.77,,
5026,1764019243238,XRPUSDT,"[""shooting_star""]",60.01,,
5027,1764020143238,XRPUSDT,[],68.59,,
5028,1764020443238,XRPUSDT,[],77.39,,
5029,1764020743238,XRPUSDT,[],68.38,,
5030,1764021343238,XRPUSDT,[],78.89,,
5031,1764021643238,XRPUSDT,"[""bullish_engulfing""]",76.98,,
5032,1764023443238,XRPUSDT,[],64.98,,
5033,1764024043238,XRPUSDT,[],65.17,,
5034,1764025243238,XRPUSDT,"[""bullish_engulfing""]",63.93,,
5035,1764025543238,XRPUSDT,[],64.24,,
5036,1764025843238,XRPUSDT,[],72.47,,
5037,1764026143238,XRPUSDT,"[""shooting_star""]",75.91,,
5038,1764027043238,XRPUSDT,[],68.4,,
5039,1764027643238,XRPUSDT,"[""shooting_star""]",64.38,,
5040,1764027943238,XRPUSDT,[],68.98,,
5041,1764028543238,XRPUSDT,[],62.58,,
5042,1764028843238,XRPUSDT,[],68.73,,
5043,1764029143238,XRPUSDT,[],64.94,,
5044,1764037543238,XRPUSDT,[],74.97,,
5045,1764037843238,XRPUSDT,[],80.91,,
5046,1764039943238,XRPUSDT,"[""bearish_engulfing""]",63.68,,
5047,1764040543238,XRPUSDT,[],62.47,,
5048,1764041743238,XRPUSDT,"[""doji""]",59.12,,
5049,1764042643238,XRPUSDT,[],66.41,,
5050,1764043243238,XRPUSDT,"[""bullish_engulfing""]",73.73,,
5051,1764043543238,XRPUSDT,[],69.55,,
5052,1764044743238,XRPUSDT,[],82.02,,
5053,1764045043238,XRPUSDT,[],73.53,,
5054,1764045343238,XRPUSDT,"[""shooting_star""]",60.3,,
5055,1764053443238,XRPUSDT,[],57.47,,
5056,1764053743238,XRPUSDT,[],68.14,,
5057,1764054043238,XRPUSDT,[],86.08,,
5058,1764054343238,XRPUSDT,[],65.42,,
5059,1764055543238,XRPUSDT,[],58.67,,
5060,1764057043238,XRPUSDT,[],64.73,,
5061,1764057343238,XRPUSDT,[],60.82,,
5062,1764057943238,XRPUSDT,[],62.86,,
5063,1764058543238,XRPUSDT,[],56.54,,
5064,1764060643238,XRPUSDT,[],60.24,,
5065,1764062443238,XRPUSDT,"[""bearish_engulfing""]",65.73,,
5066,1764063043238,XRPUSDT,[],56.48,,
5067,1764067543238,XRPUSDT,[],56.52,,
5068,1764068143238,XRPUSDT,[],60.97,,
5069,1764069643238,XRPUSDT,[],56.55,,
5070,1764071443238,XRPUSDT,[],59.04,,
5071,1764071743238,XRPUSDT,[],56.46,,
5072,1764072043238,XRPUSDT,[],63.51,,
5073,1764075043238,XRPUSDT,[],59.68,,
5074,1764076543238,XRPUSDT,[],66.64,,
5075,1764077443238,XRPUSDT,[],66.07,,
5076,1764077743238,XRPUSDT,[],66.88,,
5077,1764081043238,XRPUSDT,[],70.46,,
5078,1764081343238,XRPUSDT,"[""doji""]",65.68,,
5079,1764081643238,XRPUSDT,[],60.74,,
5080,1764082243238,XRPUSDT,"[""bullish_engulfing""]",56.65,,
5081,1764082843238,XRPUSDT,[],56.45,,
5082,1764085243238,XRPUSDT,[],69.92,,
5083,1764085543238,XRPUSDT,[],59.2,,
5084,1764088243238,XRPUSDT,[],59.89,,
5085,1764089143238,XRPUSDT,[],56.45,,
5086,1764089443238,XRPUSDT,[],64.5,,
5087,1764089743238,XRPUSDT,[],59.29,,
5088,1764090043238,XRPUSDT,"[""bullish_engulfing""]",59.65,,
5089,1764091843238,XRPUSDT,[],57.52,,
5090,1764092143238,XRPUSDT,"[""doji""]",61.84,,
5091,1764093043238,XRPUSDT,"[""bullish_engulfing""]",65.42,,
5092,1764094543238,XRPUSDT,"[""doji""]",59.32,,
5093,1764095143238,XRPUSDT,[],64.26,,
5094,1764096043238,XRPUSDT,[],61.97,,
5095,1764096643238,XRPUSDT,[],56.12,,
5096,1764096943238,XRPUSDT,[],56.27,,
5097,1764097243238,XRPUSDT,[],59.25,,
5098,1764097543238,XRPUSDT,"[""doji"", ""shooting_star""]",59.81,,
5099,1764097843238,XRPUSDT,[],63.59,,
5100,1764098443238,XRPUSDT,"[""doji""]",66.36,,
5101,1764102943238,XRPUSDT,[],57.81,,
5102,1764103243238,XRPUSDT,[],57.56,,
5103,1764103543238,XRPUSDT,"[""bearish_engulfing""]",59.28,,
5104,1764105943238,XRPUSDT,"[""shooting_star""]",56.46,,
5105,1764107743238,XRPUSDT,[],56.38,,
5106,1764108343238,XRPUSDT,[],57.97,,
5107,1764109243238,XRPUSDT,[],57.6,,
5108,1764110143238,XRPUSDT,[],67.52,,
5109,1764113143238,XRPUSDT,"[""bullish_engulfing""]",60.89,,
5110,1764113743238,XRPUSDT,[],58.76,,
5111,1764115243238,XRPUSDT,[],57.39,,
5112,1764116143238,XRPUSDT,[],57.42,,
5113,1764116743238,XRPUSDT,[],58.57,,
5114,1764117643238,XRPUSDT,[],60.7,,
5115,1764118543238,XRPUSDT,[],65.57,,
5116,1764118843238,XRPUSDT,[],63.1,,
5117,1764119143238,XRPUSDT,[],58.04,,
5118,1764120043238,XRPUSDT,"[""doji""]",65.93,,
5119,1764120943238,XRPUSDT,[],56.72,,
5120,1764123043238,XRPUSDT,[],64.59,,
5121,1764123343238,XRPUSDT,"[""shooting_star""]",57.96,,
5122,1764125443238,XRPUSDT,"[""bullish_engulfing""]",80.26,,
5123,1764126043238,XRPUSDT,[],59.43,,
5124,1764127243238,XRPUSDT,[],62.34,,
5125,1764128143238,XRPUSDT,[],64.48,,
5126,1764128443238,XRPUSDT,[],63.15,,
5127,1764128743238,XRPUSDT,[],58.63,,
5128,1764130843238,XRPUSDT,"[""doji""]",56.71,,
5129,1764131443238,XRPUSDT,"[""doji""]",56.72,,
5130,1764132043238,XRPUSDT,[],57.94,,
5131,1764135343238,XRPUSDT,[],58.67,,
5132,1764137443238,XRPUSDT,[],61.93,,
5133,1764138043238,XRPUSDT,[],66.23,,
5134,1764139243238,XRPUSDT,[],66.54,,
5135,1764140443238,XRPUSDT,[],56.79,,
5136,1764141043238,XRPUSDT,[],60.73,,
5137,1764141643238,XRPUSDT,[],69.13,,
5138,1764142243238,XRPUSDT,[],57.69,,
5139,1764142843238,XRPUSDT,[],66.92,,
5140,1764143743238,XRPUSDT,[],60.29,,
5141,1764144043238,XRPUSDT,[],57.43,,
5142,1764144343238,XRPUSDT,"[""bearish_engulfing""]",58.25,,
5143,1764144943238,XRPUSDT,[],60.86,,
5144,1764145543238,XRPUSDT,[],57.96,,
5145,1764145843238,XRPUSDT,[],64.34,,
5146,1764146143238,XRPUSDT,[],57.29,,
5147,1764147643238,XRPUSDT,[],57.15,,
5148,1764149443238,XRPUSDT,[],58.48,,
5149,1764152443238,XRPUSDT,"[""doji""]",56.69,,
5150,1764153343238,XRPUSDT,[],61.34,,
5151,1764154543238,XRPUSDT,"[""shooting_star""]",63.13,,
5152,1764154843238,XRPUSDT,[],61.89,,
5153,1764155443238,XRPUSDT,[],58.02,,
5154,1764157243238,XRPUSDT,[],56.23,,
5155,1764158443238,XRPUSDT,[],60.24,,
5156,1764158743238,XRPUSDT,[],60.75,,
5157,1764161743238,XRPUSDT,"[""doji""]",62.77,,
5158,1764163543238,XRPUSDT,[],68.36,,
5159,1764164143238,XRPUSDT,"[""doji""]",69.98,,
5160,1764164443238,XRPUSDT,[],59.87,,
5161,1764165043238,XRPUSDT,[],68.89,,
5162,1764165643238,XRPUSDT,[],64.12,,
5163,1764166243238,XRPUSDT,[],60.28,,
5164,1764166843238,XRPUSDT,[],57.58,,
5165,1764167743238,XRPUSDT,[],60.12,,
5166,1764168043238,XRPUSDT,[],59.49,,
5167,1764168343238,XRPUSDT,"[""doji"", ""shooting_star""]",58.12,,
5168,1764170443238,XRPUSDT,[],58.11,,
5169,1764172843238,XRPUSDT,[],60.71,,
5170,1764173143238,XRPUSDT,[],58.88,,
5171,1764173743238,XRPUSDT,[],70.79,,
5172,1764174343238,XRPUSDT,[],56.22,,
5173,1764174943238,XRPUSDT,[],57.06,,
5174,1764175543238,XRPUSDT,[],62.47,,
5175,1764177043238,XRPUSDT,"[""doji""]",60.2,,
5176,1764177343238,XRPUSDT,[],56.84,,
5177,1764177943238,XRPUSDT,[],67.0,,
5178,1764178543238,XRPUSDT,[],62.58,,
5179,1764179143238,XRPUSDT,[],63.14,,
5180,1764180643238,XRPUSDT,[],69.75,,
5181,1764180943238,XRPUSDT,"[""bullish_engulfing""]",70.55,,
5182,1764182743238,XRPUSDT,"[""doji"", ""shooting_star""]",58.29,,
5183,1764183043238,XRPUSDT,[],68.22,,
5184,1764184843238,XRPUSDT,[],60.62,,
